t,y,vy,ay
16.061,,,
16.082,,,
16.103,,,
16.125,,,
16.146,,,
16.167,,,
16.189,,,
16.210,,,
16.231,-5.077,-0.199,6.899E-2
16.253,,,
16.274,,,
16.296,,,
16.317,,,
16.338,,,
16.360,,,
16.381,,,
16.402,,,
16.424,,,
16.445,,,
16.466,,,
16.488,,,
16.509,,,
16.530,,,
16.552,,,
16.573,,,
16.595,,,
16.616,,,
16.637,,,
16.659,,,
16.680,,,
16.701,,,
16.723,,,
16.744,,,
16.765,,,
16.787,,,
16.808,,,
16.829,,,
16.851,,,
16.872,,,
16.894,,,
16.915,,,
16.936,,,
16.958,,,
16.979,,,
17.000,,,
17.022,,,
17.043,,,
17.064,,,
17.086,-5.190,-0.134,4.483E-2
17.107,,,
17.128,,,
17.150,,,
17.171,,,
17.193,,,
17.214,,,
17.235,,,
17.257,,,
17.278,,,
17.299,,,
17.321,,,
17.342,,,
17.363,,,
17.385,,,
17.406,,,
17.428,,,
17.449,,,
17.470,,,
17.492,,,
17.513,,,
17.534,,,
17.556,,,
17.577,,,
17.598,,,
17.620,,,
17.641,,,
17.662,,,
17.684,,,
17.705,,,
17.727,,,
17.748,,,
17.769,,,
17.791,,,
17.812,,,
17.833,,,
17.855,,,
17.876,,,
17.897,,,
17.919,,,
17.940,-5.303,-0.133,-4.413E-2
17.961,,,
17.983,,,
18.004,,,
18.026,,,
18.047,,,
18.068,,,
18.090,,,
18.111,,,
18.132,,,
18.154,,,
18.175,,,
18.196,,,
18.218,,,
18.239,,,
18.260,,,
18.282,,,
18.303,,,
18.325,,,
18.346,,,
18.367,,,
18.389,,,
18.410,,,
18.431,,,
18.453,,,
18.474,,,
18.495,,,
18.517,,,
18.538,,,
18.559,,,
18.581,,,
18.602,,,
18.624,,,
18.645,,,
18.666,,,
18.688,,,
18.709,,,
18.730,,,
18.752,,,
18.773,,,
18.794,-5.416,-0.196,-2.244E-2
18.816,,,
18.837,,,
18.858,,,
18.880,,,
18.901,,,
18.923,,,
18.944,,,
18.965,,,
18.987,,,
19.008,,,
19.029,,,
19.051,,,
19.072,,,
19.093,,,
19.115,,,
19.136,,,
19.157,,,
19.179,,,
19.200,,,
19.222,,,
19.243,,,
19.264,,,
19.286,,,
19.307,,,
19.328,,,
19.350,,,
19.371,,,
19.392,,,
19.414,,,
19.435,,,
19.456,,,
19.478,,,
19.499,,,
19.521,,,
19.542,,,
19.563,,,
19.585,,,
19.606,,,
19.627,,,
19.649,-5.641,-0.199,2.187E-2
19.670,,,
19.691,,,
19.713,,,
19.734,,,
19.755,,,
19.777,,,
19.798,,,
19.820,,,
19.841,,,
19.862,,,
19.884,,,
19.905,,,
19.926,,,
19.948,,,
19.969,,,
19.990,,,
20.012,,,
20.033,,,
20.054,,,
20.076,,,
20.097,,,
20.119,,,
20.140,,,
20.161,,,
20.183,,,
20.204,,,
20.225,,,
20.247,,,
20.268,,,
20.289,,,
20.311,,,
20.332,,,
20.353,,,
20.375,,,
20.396,,,
20.418,,,
20.439,,,
20.460,,,
20.482,,,
20.503,-5.754,-0.132,4.496E-2
20.524,,,
20.546,,,
20.567,,,
20.588,,,
20.610,,,
20.631,,,
20.652,,,
20.674,,,
20.695,,,
20.717,,,
20.738,,,
20.759,,,
20.781,,,
20.802,,,
20.823,,,
20.845,,,
20.866,,,
20.887,,,
20.909,,,
20.930,,,
20.951,,,
20.973,,,
20.994,,,
21.016,,,
21.037,,,
21.058,,,
21.080,,,
21.101,,,
21.122,,,
21.144,,,
21.165,,,
21.186,,,
21.208,,,
21.229,,,
21.250,,,
21.272,,,
21.293,,,
21.315,,,
21.336,,,
21.357,-5.867,-0.134,4.514E-2
21.379,,,
21.400,,,
21.421,,,
21.443,,,
21.464,,,
21.485,,,
21.507,,,
21.528,,,
21.549,,,
21.571,,,
21.592,,,
21.614,,,
21.635,,,
21.656,,,
21.678,,,
21.699,,,
21.720,,,
21.742,,,
21.763,,,
21.784,,,
21.806,,,
21.827,,,
21.848,,,
21.870,,,
21.891,,,
21.913,,,
21.934,,,
21.955,,,
21.977,,,
21.998,,,
22.019,,,
22.041,,,
22.062,,,
22.083,,,
22.105,,,
22.126,,,
22.147,,,
22.169,,,
22.190,,,
22.212,-5.979,-6.727E-2,6.613E-2
22.233,,,
22.254,,,
22.276,,,
22.297,,,
22.318,,,
22.340,,,
22.361,,,
22.382,,,
22.404,,,
22.425,,,
22.446,,,
22.468,,,
22.489,,,
22.511,,,
22.532,,,
22.553,,,
22.575,,,
22.596,,,
22.617,,,
22.639,,,
22.660,,,
22.681,,,
22.703,,,
22.724,,,
22.745,,,
22.767,,,
22.788,,,
22.810,,,
22.831,,,
22.852,,,
22.874,,,
22.895,,,
22.916,,,
22.938,,,
22.959,,,
22.980,,,
23.002,,,
23.023,,,
23.044,,,
23.066,-5.979,-1.132E-17,0.000
23.087,,,
23.109,,,
23.130,,,
23.151,,,
23.173,,,
23.194,,,
23.215,,,
23.237,,,
23.258,,,
23.279,,,
23.301,,,
23.322,,,
23.343,,,
23.365,,,
23.386,,,
23.408,,,
23.429,,,
23.450,,,
23.472,,,
23.493,,,
23.514,,,
23.536,,,
23.557,,,
23.578,,,
23.600,,,
23.621,,,
23.642,,,
23.664,,,
23.685,,,
23.707,,,
23.728,,,
23.749,,,
23.771,,,
23.792,,,
23.813,,,
23.835,,,
23.856,,,
23.877,,,
23.899,,,
23.920,-5.979,-6.439E-2,-2.162E-2
23.941,,,
23.963,,,
23.984,,,
24.006,,,
24.027,,,
24.048,,,
24.070,,,
24.091,,,
24.112,,,
24.134,,,
24.155,,,
24.176,,,
24.198,,,
24.219,,,
24.240,,,
24.262,,,
24.283,,,
24.305,,,
24.326,,,
24.347,,,
24.369,,,
24.390,,,
24.411,,,
24.433,,,
24.454,,,
24.475,,,
24.497,,,
24.518,,,
24.539,,,
24.561,,,
24.582,,,
24.604,,,
24.625,,,
24.646,,,
24.668,,,
24.689,,,
24.710,,,
24.732,,,
24.753,,,
24.774,-6.092,-6.558E-2,2.196E-2
24.796,,,
24.817,,,
24.838,,,
24.860,,,
24.881,,,
24.903,,,
24.924,,,
24.945,,,
24.967,,,
24.988,,,
25.009,,,
25.031,,,
25.052,,,
25.073,,,
25.095,,,
25.116,,,
25.137,,,
25.159,,,
25.180,,,
25.202,,,
25.223,,,
25.244,,,
25.266,,,
25.287,,,
25.308,,,
25.330,,,
25.351,,,
25.372,,,
25.394,,,
25.415,,,
25.436,,,
25.458,,,
25.479,,,
25.501,,,
25.522,,,
25.543,,,
25.565,,,
25.586,,,
25.607,,,
25.629,-6.092,0.000,4.487E-2
25.650,,,
25.671,,,
25.693,,,
25.714,,,
25.735,,,
25.757,,,
25.778,,,
25.800,,,
25.821,,,
25.842,,,
25.864,,,
25.885,,,
25.906,,,
25.928,,,
25.949,,,
25.970,,,
25.992,,,
26.013,,,
26.034,,,
26.056,,,
26.077,,,
26.099,,,
26.120,,,
26.141,,,
26.163,,,
26.184,,,
26.205,,,
26.227,,,
26.248,,,
26.269,,,
26.291,,,
26.312,,,
