t,Mass A,x,y,Mass B,x,y
2.116667,,0.6082256,0.4942528,,0.1408805,0.2803176
2.133333,,0.6131325,0.4973754,,0.1451292,0.2909395
2.15,,0.6180393,0.500944,,0.1458373,0.3029777
2.166667,,0.6269608,0.5080812,,0.1486698,0.3135996
2.183333,,0.6327598,0.5125419,,0.1515024,0.3305946
2.2,,0.6372205,0.5156645,,0.1515024,0.3405084
2.216667,,0.6470342,0.524586,,0.1529186,0.3532547
2.233333,,0.6550636,0.5294928,,0.1529186,0.3667091
2.25,,0.6546175,0.5321693,,0.1536267,0.3893691
2.266667,,0.6604165,0.5375222,,0.1522105,0.4134454
2.283333,,0.6684458,0.5410908,,0.1529186,0.4339811
2.3,,0.675137,0.5477819,,0.155043,0.4453111
2.316667,,0.6822742,0.5531348,,0.1571674,0.4538086
2.333333,,0.687181,0.5575956,,0.160708,0.4686793
2.35,,0.6911957,0.5611642,,0.1621242,0.4807174
2.366667,,0.6961025,0.5647328,,0.1642486,0.4941719
2.383333,,0.7010093,0.5683014,,0.1670811,0.5076263
2.4,,0.7094848,0.5745464,,0.1684974,0.5182482
2.416667,,0.7139455,0.577669,,0.1692055,0.5295782
2.433333,,0.7206367,0.5821297,,0.1706218,0.5402001
2.45,,0.7295582,0.5874826,,0.1748705,0.5571951
2.466667,,0.7353572,0.5914973,,0.1727461,0.5748983
2.483333,,0.7416022,0.5946198,,0.1727461,0.5940177
2.5,,0.7496316,0.5995267,,0.1762868,0.6081802
2.516667,,0.7536463,0.6035414,,0.1791193,0.6202184
2.533333,,0.7572149,0.6066639,,0.1798274,0.6230509
2.55,,0.7607835,0.6097864,,0.1791193,0.6400459
2.566667,,0.763906,0.6129089,,0.1791193,0.6492516
2.583333,,0.7679207,0.6160315,,0.1805355,0.6591654
2.6,,0.7723814,0.6187079,,0.1819518,0.668371
2.616667,,0.7763961,0.6213844,,0.183368,0.679701
2.633333,,0.7826412,0.6258451,,0.1869087,0.6945717
2.65,,0.787548,0.6280755,,0.1897412,0.7080261
2.666667,,0.7920088,0.6303059,,0.1918656,0.7193561
2.683333,,0.7960235,0.6334284,,0.1925737,0.7306861
2.7,,0.8000381,0.6356588,,0.1932818,0.7427243
2.716667,,0.804945,0.6383352,,0.1961143,0.7618437
2.733333,,0.8094057,0.6410117,,0.1961143,0.7752981
2.75,,0.8129743,0.6423499,,0.1982387,0.7837956
2.766667,,0.8165429,0.6441342,,0.2003631,0.7944175
2.783333,,0.8214498,0.6472568,,0.2024875,0.8149532
2.8,,0.8268027,0.6494871,,0.2017793,0.824867
2.816667,,0.8312634,0.6512714,,0.2046118,0.8432783
2.833333,,0.8370624,0.6557322,,0.2046118,0.8503595
2.85,,0.8415232,0.6593008,,0.20532,0.863814
2.866667,,0.8468761,0.6628694,,0.2067362,0.8758521
2.883333,,0.8495525,0.6650998,,0.2095687,0.8907228
2.9,,0.8531211,0.6682223,,0.2124012,0.9048853
2.916667,,0.8549054,0.6695605,,0.21665,0.9169235
2.933333,,0.8593662,0.6731291,,0.2230231,0.9289616
2.95,,0.8629348,0.6762517,,0.2251475,0.9402916
2.966667,,0.8673955,0.6784821,,0.2251475,0.9509135
2.983333,,0.8776553,0.6847271,,0.2258556,0.959411
3,,0.882116,0.6887418,,0.22798,0.9629517
3.016667,,0.887469,0.6923104,,0.2286882,0.9686167
3.033333,,0.8923758,0.6963251,,0.2301044,0.9749898
3.05,,0.8968365,0.6990015,,0.2301044,0.9884442
3.066667,,0.9017434,0.7021241,,0.2301044,0.9919849
3.083333,,0.9070963,0.7056927,,0.2308125,0.9827792
3.1,,0.9106649,0.7092613,,0.2357694,0.9785305
3.116667,,0.9151256,0.7128299,,0.2371857,0.9714492
3.133333,,0.9182482,0.7150603,,0.2371857,0.9650761
3.15,,0.9213707,0.7177367,,0.2371857,0.9565785
